"Old People","Mikey Mason","0000-00-00",,
"Snack Bar","Devo Spice","0000-00-00",,
"Mealz On Wheelz (feat. The Gothsicles)","Seamonkey","0000-00-00",,
"FuMPFest 2014 - Live","Various Artists","2015-03-22","FIDIM144",
"The FuMP Vol.48: November - December 2014","Various Artists","2015-01-20","FIDIM142","737069886701"
"The FuMP Volume 49: January - February 2015","Various Artists","2015-03-20","FIDIM143","737069886718"
"(Big Damn) Hero","Mikey Mason","0000-00-00",,
"Amazon (dot com)","Bonecage","0000-00-00",,
"Meryl Streep Is from the Future (v. JH Sounds Remix)","Afterbirth Monkey","0000-00-00",,
"Breakaway","Carla Ulbrich","0000-00-00",,
"Ghosts of Christmas","TV\'s Kyle","0000-00-00",,
"Humility Tower (v. Real America\'s Even Longer Radio Edit)","Tony Goldmark","0000-00-00",,
"I Love My Job","Steve Goodie","0000-00-00",,
"I\'m Back (A Dinosaur\'s Story)","TV\'s Kyle","0000-00-00",,
"I\'ve Never Played FF7","Insane Ian","0000-00-00",,
"In an I-Hop","Devo Spice","0000-00-00",,
"It\'s Burgertime","Insane Ian","0000-00-00",,
"Jewish Boys","Jessica Delfino","0000-00-00",,
"Q*bert","the great Luke Ski","0000-00-00",,
"The Big Bang Theory Song","Steve Goodie","0000-00-00",,
"The Last Song On the Album","Devo Spice","0000-00-00",,
"There\'s a Platypus Controlling Me","Devo Spice","0000-00-00",,
"To Date a Klingon","Devo Spice","0000-00-00",,
"Tone Loc Gets Arrested for Domestic Battery","Devo Spice","0000-00-00",,
"Inside Jokes of the FuMP","Various Artists","2015-04-01","FIDIM145",
"If It\'s Right","Steve Goodie","0000-00-00",,
"Dear Michael","Clearly Guilty","0000-00-00",,
"An Agnostic Gospel Song (feat. Andy Corwin)","Steve Goodie","0000-00-00",,
"You\'re the Man (In Black)","Bonecage","0000-00-00",,
"Benedict Cumberbatch","Insane Ian","0000-00-00",,
"Nice Guys Finish Last","Steve Goodie","0000-00-00",,
"Written On Your Face","Bonecage","0000-00-00",,
"Another New Year","Mikey Mason","0000-00-00",,
"FuMPFest 2015 t-shirt","Various Artists","2015-05-21","FIDIM148",
"Tryin To Pass a Kidney Stone","Robert Lund","0000-00-00",,
"Undying Love (feat. Julia Larson)","Nuclear Bubble Wrap","0000-00-00",,
"Love Me Tinder","Steve Goodie","0000-00-00",,
"The T-Rex Song (Director\'s Cut)","the great Luke Ski","0000-00-00",,
"Greatest Hits Volume 2: 2004-2009","the great Luke Ski","0000-00-00",,
"The FuMP Volume 50: April - May 2015","Various Artists","2015-06-20","FIDIM147","737069886725"
"(She\'s On) Pinterest","Dino-Mike","0000-00-00",,
"(Nobody Loves The) Comedy Band - Rock","Raymond and Scum","0000-00-00",,
"Biggest Fan (feat. Cara Akemi)","Dino-Mike","0000-00-00",,
"Close Your Eyes (Demon Lullaby)","Marc Gunn","0000-00-00",,
"Four Things You Need to Know (feat. Dictionary Attack)","TV\'s Kyle","0000-00-00",,
"It\'s Hip to Jump On Squares (feat. Dave Stagner)","TV\'s Kyle","0000-00-00",,
"It\'s Your Birthday Ain\'t It?","Mikey Mason","0000-00-00",,
"Must Love Dogs (Ianplugged) (feat. Ben Stahl)","Insane Ian","0000-00-00",,
"Pizza Heroes","Lemon Demon","0000-00-00",,
"Rules of the Road","Insane Ian","0000-00-00",,
"Steve\'s Harry Potter Medley","Steve Goodie","0000-00-00",,
"The Twilight Zone","the great Luke Ski","0000-00-00",,
"Lucy Is a Guy With Falsies (feat. Robert Lund & Spaff)","The Boobles","0000-00-00",,
"The FuMP Volume 51: May - June 2015","Various Artists","2015-07-15","FIDIM149","737069886732"
"Meatless Monday","Jeff Reuben","0000-00-00",,
"Anything","Art Paul Schlossar","0000-00-00",,
"I Don\'t Know Why There\'s a Bug in Here (feat. Lindsay Smith)","TV\'s Kyle","0000-00-00",,
"Lando (Episode VII)","Raymond and Scum","0000-00-00",,
"Munchkins","Beth Kinderman","0000-00-00",,
"My Blouse","Carrie Dahlby","0000-00-00",,
"Ping Pong","Insane Ian","0000-00-00",,
"Those Things You Do","Steve Goodie","0000-00-00",,
"Unexpecting the Expected","Dino-Mike","0000-00-00",,
"Floss Boss (The Official Hardcore Rap Song About Flossing)","KILL THE BAND","0000-00-00",,
"Take Cover from the Flying Drone","Mick Kahler & Al Flash","0000-00-00",,
"Put It Away","Devo Spice","0000-00-00",,
"(She\'s Your) Girlfriend","Marian Rosin","0000-00-00",,
"Do Your Job","Steve Goodie","0000-00-00",,
"Abracadaver","Nuclear Bubble Wrap","2012-06-10","FIDIM136",
"Walk Of Shame","Steve Goodie","0000-00-00",,
"Ice King Baby","the great Luke Ski","0000-00-00",,
"The FuMP Volume 52: July - August 2015","Various Artists","2015-09-15","FIDIM150","737069886749"
"Urban Dictionary","Dino-Mike","0000-00-00",,
