"Giant Kitten","Carrie Dahlby","2009-03-07",,
"The Dumb Album","Baldbox","2009-03-07",,
"NSFW shirt","Devo Spice","0000-00-00",,
"Noise Pollution","Sudden Death","0000-00-00",,
"Brain Dead","Sudden Death","0000-00-00",,
"Unplugged","Sudden Death","0000-00-00",,
"The Funny Music Project: Volume 13: January - February 2008","Various Artists","2009-03-25","FIDIM051","753182093277"
"700 Billion Dollars","Steve Goodie","0000-00-00",,
"Anorexiac By Seamonkey [Bonus]","Seamonkey","0000-00-00",,
"Black Friday","the great Luke Ski","0000-00-00",,
"Busted","Devo Spice","0000-00-00",,
"Earn Hollywood Earn","Possible Oscar","0000-00-00",,
"Sorry My Brother\'s A Jerk","Hot Waffles","0000-00-00",,
"Force Doesn\'t Work On A Crustaceon","Power Salad","0000-00-00",,
"The White-Out Album","Power Salad","0000-00-00",,
"Sweat Equity","Power Salad","0000-00-00",,
"Never Say Never","Rob Balder","0000-00-00",,
"Kitty Cat Girl","TV\'s Kyle","0000-00-00",,
"The Awful Truth About Hannah Montana","Robert Lund","0000-00-00",,
"Cruisin\' For Chicks On Google Maps","Tom Smith","0000-00-00",,
"Blair Witch","Raymond and Scum","0000-00-00",,
"Goodbye Sarah P","Steve Goodie","0000-00-00",,
"Obsessed","Bob Ricci","0000-00-00",,
"Professor Frink Outro","Sudden Death","0000-00-00",,
"Pull Pranks On `Em","Positive Attitude","0000-00-00",,
"The Dada Slide","the great Luke Ski","0000-00-00",,
"It\'s Just a Dream (Luigi\'s Lament)","TV\'s Kyle","0000-00-00",,
"Swine Flu!","Seamonkey","0000-00-00",,
"Little Poop Scoop","Bob Ricci","0000-00-00",,
"The Fump Volume 14: March - April 2009","Various Artists","2009-05-19","FIDIM052","753182177212"
"Pr-Pr-Pr-Procreate","Moneyshot Cosmonauts","0000-00-00",,
"Out Of Snark","Tom Smith","0000-00-00",,
"Break My Face","TV\'s Kyle","0000-00-00",,
"Frank\'s Garage","Steve Goodie","0000-00-00",,
"It\'s St. Patrick\'s Day!","Hot Waffles","0000-00-00",,
"Peppermint Coffee","TV\'s Kyle","0000-00-00",,
"Here They Come","Rob Balder","0000-00-00",,
"Why Are You Friending Me On Facebook?","Devo Spice","0000-00-00",,
"The Food Show","Power Salad","0000-00-00",,
"Moo Moo Cow","Seamonkey","0000-00-00",,
"Jane Doe","Seamonkey","0000-00-00",,
"Usf\'na (Geographically Correct Version)","Baldbox","0000-00-00",,
"Jello Shots","the great Luke Ski","0000-00-00",,
"Words That Rhyme","Baldbox","0000-00-00",,
"Cthulhu Fthagn","Tom Smith","0000-00-00",,
"I Feel Happy","Moneyshot Cosmonauts","0000-00-00",,
"JFGI","Rob Balder","0000-00-00",,
"Sweat The Small Stuff","Steve Goodie","0000-00-00",,
"Too Much Stuff","the great Luke Ski","0000-00-00",,
"Gamer Funk","Rob Balder","0000-00-00",,
"Uncle Clyde","Project Sisyphus","0000-00-00",,
"Noah (New International Version)","Robert Lund","0000-00-00",,
"Dumbledore l(Live)","Steve Goodie","0000-00-00",,
"We\'re Goin\' To the Dells (The Wisconsin Dells) (feat. Carrie Dahlby)","the great Luke Ski","0000-00-00",,
"Working The Glory","Robert Lund","0000-00-00",,
"Platform Wars (feat. The Great Luke Ski And Dual Core)","Devo Spice","0000-00-00",,
"There Is No Dana Only Zuul","Raymond and Scum","0000-00-00",,
"The Fump Vol. 15: (May-June 2009)","Various Artists","2009-07-15","FIDIM055","753182256092"
"Kill The Enemies","Possible Oscar","0000-00-00",,
"You Are What You Eat","Nuclear Bubble Wrap","0000-00-00",,
"Unbeatable Buns","Robert Lund","0000-00-00",,
"It\'s Its","Power Salad","0000-00-00",,
"The Prices Suck At Whole Foods ","Project Sisyphus","0000-00-00",,
"God Bless Stephen Colbert","the great Luke Ski","0000-00-00",,
"Draining The Lizard On A Dead Gay Wizard","Nuclear Bubble Wrap","0000-00-00",,
"Amphibious Trigonometry (Soggy Potato Chips Remix)","The Gothsicles","0000-00-00",,
"Are We Lawyer?","Project Sisyphus","0000-00-00",,
"Connoisseur of Girl TV","Bob Ricci","0000-00-00",,
"Everybody Get Weird! (An Art Paul Schlosser Remix)","the great Luke Ski","0000-00-00",,
"Kill Seville","Positive Attitude","0000-00-00",,
"Life In The Fleet","Devo Spice","0000-00-00",,
"I Can Has Fump? - Volume 3D: May-June 07","Various Artists","2007-07-27","FIDIM019","842994007258"
"The Fump Vol. 11d: September - October 2008 (digital only)","Various Artists","2008-11-25","FIDIM047",
"Marvel Poppins","the great Luke Ski","0000-00-00",,
"But You Get To Have Cake","Robert Lund","0000-00-00",,
"Five For Two","Bob Ricci","0000-00-00",,
"Blow Me Down","Moneyshot Cosmonauts","0000-00-00",,
"The Fump Vol. 16","Various Artists","2009-09-24","FIDIM57","753182462479"
"My Parents Bought Me Intellivision (feat. Insane Ian)","the great Luke Ski","0000-00-00",,
"Les\'s Morgue","Steve Goodie","0000-00-00",,
"When This Song Is Over You Will Die","Tom Smith","0000-00-00",,
"A Little Undead","Moneyshot Cosmonauts","0000-00-00",,
"Stupid As Charged","Carrie Dahlby","0000-00-00",,
"All I Do Is Pretend To Work (While I\'m At Work)","The Chris Waffle Experience","0000-00-00",,
"My Darkest Secret","Bob Ricci","0000-00-00",,
"Spring Heeled Jack","Lemon Demon","0000-00-00",,
"Tweetin On A Jet Plane","Steve Goodie","0000-00-00",,
"The New Song","Bob Ricci","0000-00-00",,
"Friends On MySpace","Steve Goodie","0000-00-00",,
"Birdf***er","Nuclear Bubble Wrap","0000-00-00",,
"The Vomit Song","Steve Goodie","0000-00-00",,
"Mind Over Matter","TV\'s Kyle","0000-00-00",,
"I Gotta Fever","Moneyshot Cosmonauts","0000-00-00",,
"New Moon","Tom Smith","0000-00-00",,
"The Fump Volume 17: September - October 2009","Various Artists","2009-11-28","FIDIM058","753182711737"
"Karma Jolt (Hobo Bob Remix)","The Gothsicles","0000-00-00",,
"Babelfishmas","Rob Balder","0000-00-00",,
"Blame The Elves","Moneyshot Cosmonauts","0000-00-00",,
"I Bagged A Tiger!","Steve Goodie","0000-00-00",,
"Netrikulator","FIDIM Interactive, LLC","2009-12-16",,
"The Twelve Signs Of Swine Flu","Steve Goodie","0000-00-00",,
"Thank God Thanksgiving Only Comes Once A Year","Steve Goodie","0000-00-00",,
"Amnesia Was Her Name","Lemon Demon","0000-00-00",,
"Creepy Internet Guy","Nuclear Bubble Wrap","0000-00-00",,
"Louie the Lighter\'s Bingo House of Doom","Bob Ricci","0000-00-00",,
"Oscilloscope Cathedral","Worm Quartet","0000-00-00",,
