"Don't Shoot","Rob Balder","2007-01-05",,
"Nothing's Gonna Tear Us Apart (Love Theme From 'Stupid Teenager","Raymond and Scum","2007-01-09",,
"Tech Support For Dad","Tom Smith","2007-01-12",,
"EULA Dancing","Tom Smith","2007-01-27",,
"Cellular Degeneration (MP3)","Sudden Death","2007-01-07",,
"Get a Real Dog (Gothsicles Remix)","Worm Quartet","2007-02-26",,
"Talk Nerdy To Me (MP3)","Possible Oscar","2007-01-23",,
"I Want to Be Taken Seriously As An Artist (Featuring Curt Allen)","Worm Quartet","2007-02-13",,
"You Might Be a Trekkie (Live At Marscon 2006)","the great Luke Ski","2007-01-05",,
"Die Laughing","Sudden Death","2005-10-27","FIDIM006","783707099200"
"Volume 1: Jan-Feb 07","Various Artists","2007-03-01","FIDIM011","842994004493"
"Raking The Lawn","Possible Oscar","2007-02-27",,
"Boyfriend Points","Tom Smith","2007-03-02",,
"Hyperspace Cryogenic Insomnia Blues","Tom Smith","2007-03-09",,
"It Takes Who","the great Luke Ski","2007-03-30",,
"World Robot Domination","Sudden Death","2007-03-16",,
"Great Idea for a Song (Tesh-as-a-mofo Version)","Worm Quartet","2007-03-23",,
"The World Is Made Of","Carrie Dahlby","2007-04-03",,
"Muppet Laboratories","Rob Balder","2007-02-23",,
"BACON!","the great Luke Ski","2007-02-09",,
"My Name Is Not Merv Griffin","the great Luke Ski","2007-04-01",,
"Dead Things Can Rap Too","Sudden Death","1992-01-03","FIDIM001",
"99 Words For Boobs","Robert Lund","2007-04-17",,
"Mental Notes","Worm Quartet","2007-03-03","FIDIM008",
"The Wrath Of Con","Possible Oscar","2007-03-02","FIDIM015",
"Laser Ablation","Power Salad","2007-04-10",,
"I'm Gonna Procrastinate","Rob Balder","2007-04-20",,
"2 CD Pack","Rob Balder","2007-01-01","FIDIM010a",
"First Of May","Jonathan Coulton","2007-05-01",,
"Gettin' Giggity Wit It","the great Luke Ski","2007-04-27",,
"Faster Than A Speeding Mullet","Worm Quartet","2004-02-01","FIDIM017",
"For Amusement Only","Rob Balder","2005-01-01","FIDIM010",
"Unconventional","the great Luke Ski","2005-08-18","FIDIM013",
"The Ego Has Landed","the great Luke Ski","2006-08-10","FIDIM014",
"The Most Trusted Man In Nigeria","Tom Smith","2007-05-08",,
"Insert Geek Cliche Here","Tom Smith","2007-04-24",,
"Sumophobia 2","Worm Quartet","2006-03-01",,
"Jail!","Robert Lund","2007-05-10",,
"Man From Dunder","the great Luke Ski","2007-05-11",,
"Cat Macros","Tom Smith","2007-05-18",,
"Volume 2: Mar-Apr 07","Various Artists","2007-05-18","FIDIM018","842994005544"
"What's Wrong With This Song? (featuring Possible Oscar)","Carrie Dahlby","2007-05-25",,
"Happy Ranch","Carrie Dahlby","2007-03-03","FIDIM012",
"What Your Parents Think All Your Music Sounds Like","Worm Quartet","2007-05-04",,
"I'm N Luv Wit Muh Sister","Seamonkey","2007-05-22",,
"The System Administrator Song (MP3)","3 Dead Trolls In A Baggie","2005-08-18",,
"How Did I Get On This List?","Raymond and Scum","2005-08-18",,
"The Gates (MP3)","DaVinci's Notebook","2005-08-18",,
"PC99 (MP3)","Tom Smith","2005-08-18",,
"The Nerds Who Rule The World (MP3)","Hot Waffles","0000-00-00",,
"Computer Chanty (MP3)","Dr. SETI","2005-08-18",,
"MySpace (MP3)","Joshua Grosvent","2005-08-18",,
"Reinstalling Windows (MP3)","Les Barker","2005-08-18",,
"Konami Code III (MP3)","The Gothsicles","2005-08-18",,
"I've Got A Wife (MP3)","Worm Quartet","2005-08-18",,
"On The PC (MP3)","Tom Smith","2005-08-18",,
"Inner Voice (MP3)","Sudden Death","0000-00-00",,
"You Must Give Me Beef","Powered By Satan","0000-00-00",,
"Reign Of Error (MP3)","Sudden Death","0000-00-00",,
"Log In To You (MP3)","The Arrogant Worms","0000-00-00",,
"Digging Machine","Logan Whitehurst","0000-00-00",,
"The Rise And Fall Of The SupaSucka 9000000™","Flying Like Wilma","0000-00-00",,
"Pac-Man","Sudden Death","0000-00-00",,
"UR","the great Luke Ski","0000-00-00",,
"MC Freberg","the great Luke Ski","2007-06-08",,
"Exclamations","The Brobdingnagian Bards","2007-06-05",,
"Pillagers","Sudden Death","2007-06-01",,
"Calculator In My Bum","Worm Quartet","0000-00-00",,
"I Love You TiVo: Acappella Mix - the great Luke Ski","the great Luke Ski","0000-00-00",,
"2600","Positive Attitude","0000-00-00",,
"Ozzman","Sudden Death","0000-00-00",,
"Business As Usual","Sudden Death","0000-00-00",,
"Pop Star","Sudden Death","0000-00-00",,
"Welcome Back Doctor","Sudden Death","0000-00-00",,
"Internet Love Song","Bob Ricci","0000-00-00",,
"I Heart New York","Sudden Death","0000-00-00",,
"Down Thurr","Sudden Death","0000-00-00",,
"That Calls For A Wilhelm Scream","Possible Oscar","0000-00-00",,
"You've Got Hogwarts","Robert Lund","0000-00-00",,
"Why I Won't Get You A Beer","Tom Smith","2007-07-03",,
"Yet Another Stupid Decade","Rob Balder","0000-00-00",,
"The Cat Came Back... The Cat's Perspective","Marc Gunn","0000-00-00",,
"Time With Your Wife","Raymond and Scum","0000-00-00",,
"50 Ways To Lose Your Luggage","Robert Lund","0000-00-00",,
"Earpicac","Various Artists","2007-07-01",,
"She's Underage","Seamonkey","0000-00-00",,
"Jedi Drinking Song Prequel LIVE","The Brobdingnagian Bards","2007-07-27",,
"The FuMP Volume 3","Various Artists","2007-07-27","FIDIM019","842994007258"
"Tech Support (MP3)","Tony Goldmark","0000-00-00",,
"Dementia Revolution","the great Luke Ski","2007-08-03",,
"Getting Old Sucks","Sudden Death","0000-00-00",,
"Re: Your Song About My Client Delilah","Robert Lund","0000-00-00",,
"CGI (mp3)","Sudden Death","0000-00-00",,
"Spam (mp3)","Sudden Death","0000-00-00",,
"The Boobles - Buying Brassieres Together","Seamonkey","0000-00-00",,
"Spoiler Alert","Tom Smith","0000-00-00",,
"Are You Gonna Eat Yer Squirrel?","Seamonkey","0000-00-00",,
"Baconspiracy","the great Luke Ski","2007-09-01",,
"Holding Out for Hiro (Featuring Carrie Dahlby)","the great Luke Ski","0000-00-00",,
"The FuMP - Volume 4: Jul-Aug 07","Various Artists","2007-09-15","FIDIM021",
"My Men's Room Date's A Senator","Robert Lund","0000-00-00",,
"Middle Earth Bragging Song","Marc Gunn","0000-00-00",,
"How We Recycle","Possible Oscar","0000-00-00",,
"Nugget Man","Paul and Storm","0000-00-00",,
"I'm On It (Wikipedia)","Sudden Death","0000-00-00",,
"Wasted Space Oddity","Power Salad","0000-00-00",,
"Sundae Chocolate Sundae","Possible Oscar","0000-00-00",,
"Extreme Mistakeover (mp3)","Sudden Death","0000-00-00",,
"Professor Frink Intro","Sudden Death","0000-00-00",,
"Rest Home Gangstas","Sudden Death","0000-00-00",,
"Robot Cat","Logan Whitehurst","0000-00-00",,
"The Christmas Season","Sudden Death","0000-00-00",,
"All Out Of Beer","Possible Oscar","0000-00-00",,
"Garlic Is For Lovers","Tom Smith","0000-00-00",,
"Quark's New Merchandising Enterprise (Live At Convergence 2007)","the great Luke Ski","0000-00-00",,
"Have You Kicked An Emo Kid's Ass Today?","Hot Waffles","0000-00-00",,
"The Fump - Volume 5: Sept-Oct 07","Various Artists","2007-11-09","FIDIM022",
"CYA","Tom Smith","0000-00-00",,
"I've Got GarageBand","Project Sisyphus","0000-00-00",,
"80s Chords","Rob Balder","0000-00-00",,
"Angus Beef Patties with Cheese and Bacon","Hot Waffles","0000-00-00",,
"Elves Gone Wild","Robert Lund","0000-00-00",,
"Politicked Off","Robert Lund","0000-00-00",,
"Die Laughing t-shirt","Sudden Death","0000-00-00",,
"Stupid Teenagers Must Die","Raymond and Scum","0000-00-00",,
"I Heart Thanksgiving","Robert Lund","0000-00-00",,
"Blood Guts and Boobs","Sudden Death","0000-00-00",,
"My Atari","Sudden Death","0000-00-00",,
"My Atari","Sudden Death","0000-00-00",,
"It's A Fanboy Christmas II","the great Luke Ski","0000-00-00",,
