1/10/20,Rock Is FTW!,Various Artists,0.01
1/10/20,Rock Is FTW!,Various Artists,0.01
1/14/20,Rock Is FTW!,Various Artists,0.01
1/22/20,Rock Is FTW!,Various Artists,0.01
1/22/20,Romeo Responds to Taylor Swift,Various Artists,0.05
1/3/20,Romeo Responds to Taylor Swift,Various Artists,0.04
1/10/20,Romeo Responds to Taylor Swift,Various Artists,0.04
1/10/20,Romeo Responds to Taylor Swift,Various Artists,0.04
1/14/20,Romeo Responds to Taylor Swift,Various Artists,0.04
1/14/20,Romeo Responds to Taylor Swift,Various Artists,0.04
1/14/20,Romeo Responds to Taylor Swift,Various Artists,0.04
1/22/20,Romeo Responds to Taylor Swift,Various Artists,0.04
1/30/20,Romeo Responds to Taylor Swift,Various Artists,0.04
1/14/20,Romeo Responds to Taylor Swift,Various Artists,0.03
1/30/20,Romeo Responds to Taylor Swift,Various Artists,0.03
1/1/20,Romeo Responds to Taylor Swift,Various Artists,0.02
1/1/20,Romeo Responds to Taylor Swift,Various Artists,0.02
1/9/20,Romeo Responds to Taylor Swift,Various Artists,0.02
1/9/20,Romeo Responds to Taylor Swift,Various Artists,0.02
1/10/20,Romeo Responds to Taylor Swift,Various Artists,0.02
1/14/20,Romeo Responds to Taylor Swift,Various Artists,0.02
1/2/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/3/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/10/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/10/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/10/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/14/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/14/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/14/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/22/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/22/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/27/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/27/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/27/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/27/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/28/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/28/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/29/20,Romeo Responds to Taylor Swift,Various Artists,0.01
1/29/20,Romeo Responds to Taylor Swift,Various Artists,0.01
