"My Pal the Murray (The Really Long Lawn Mower Son) [Parody of Weird Al\'s \'Albuquerque\'] ","Steve Goodie","0000-00-00",,
"Hulkulele","Nuclear Bubble Wrap","0000-00-00",,
"The Star Wars Chanukah Song","the great Luke Ski","0000-00-00",,
"Crazy Me","Rob Balder","0000-00-00",,
"Big Oil Spill of Love","Hot Waffles","0000-00-00",,
"Dirty Diaper","Morning Sidekick","0000-00-00",,
"Dutiful Ladies","Flat 29","0000-00-00",,
"Electric Shock","TV\'s Kyle","0000-00-00",,
"Everybody Go See Twilight","Morning Sidekick","0000-00-00",,
"Feed The Children","Positive Attitude","0000-00-00",,
"Nancy Pelosi (I Want To Be Your Friend)","Raymond and Scum","0000-00-00",,
"Our Love Song","Insane Ian","0000-00-00",,
"Suite from \'Bikeman Begins\'","Consortium of Genius","0000-00-00",,
"We\'re Gonna Hurt Them!","TV\'s Kyle","0000-00-00",,
"The North Side Of The Pole Part 4: Red And Green","Moneyshot Cosmonauts","0000-00-00",,
"Friday (The 13th) (feat. Shisho)","Devo Spice","0000-00-00",,
"The FuMP Volume 30: November - December 2011","Various Artists","2012-01-18","FIDIM095","721405579556"
"Umbrella Chronicles - Marie Digby as a MoFo Version","Insane Ian","0000-00-00",,
"Really Cool Wig","Lemon Demon","0000-00-00",,
"At The Con","Ookla The Mok","0000-00-00",,
"People of Walmart","Jesse Smith","0000-00-00",,
"Pregnancy Is Strange","Carrie Dahlby","0000-00-00",,
"Hey Birthday Boy","Insane Ian","0000-00-00",,
"Love Connection (v. Jazz Version)","Carla Ulbrich","0000-00-00",,
"I Am The Doctor","Devo Spice","0000-00-00",,
"Welcome To The Con","Ookla The Mok","0000-00-00",,
"And Counting feat. Dictionary Attack","TV\'s Kyle","0000-00-00",,
"Here I Am With President Romney (v. 2012 Version)","Robert Lund","0000-00-00",,
"QR Head","Power Salad","0000-00-00",,
"I\'d Buy That For a Dollar","Scooter Picnic","0000-00-00",,
"Fairly Epic","Insane Ian","0000-00-00",,
"Sketch Pitch Meeting","Cirque du So What","0000-00-00",,
"Everything You Know Is Wrong","Steve Goodie","0000-00-00",,
"Menfriends","Flat 29","0000-00-00",,
"Ant-Man","Insane Ian","0000-00-00",,
"Shall We Slap A Slut For Speaking","Steve Goodie","0000-00-00",,
"You Rich Motherf******","Steve Goodie","0000-00-00",,
"The Fump Volume 31: January - February 2012","Various Artists","2012-03-15","FIDIM096","721405579587"
"Mad Men World","Moneyshot Cosmonauts","0000-00-00",,
"Komedykazi","Dino-Mike","0000-00-00",,
"Hymn for Sin","Dino-Mike","0000-00-00",,
"Fuzzy Navel","Steve Goodie","0000-00-00",,
"Special Day","Dino-Mike","0000-00-00",,
"Love Theme From Eat Prey Blood: The Movie: The Ride: The Musical","Positive Attitude","0000-00-00",,
"Teach Your Baby Bass Guitar","Flat 29","0000-00-00",,
"Betty Rubble","Steve Goodie","0000-00-00",,
"Love Theme From The Hunger Games","Jesse Smith","0000-00-00",,
"Devo Are You Shoebox?","Devo Spice","0000-00-00",,
"Quit Freaking Out Over Boobs","Tom Smith","0000-00-00",,
"Ultimate Epic Video Game Medley 3rd Strike: Revenge of the Return of the Rise of The...","Insane Ian","0000-00-00",,
"Be Amused By Me","the great Luke Ski","0000-00-00",,
"They Said I Was Mad","Consortium of Genius","0000-00-00",,
"The FuMP Volume 32: March - April 2012","Various Artists","2012-05-20","FIDIM099","721405579594"
"One Damn Lane","Tony Goldmark","0000-00-00",,
"Mr. Mxyzptlk / Bizarro World","Ookla The Mok","0000-00-00",,
"A Song For Worm Quartet To Sing With TV\'s Kyle","Worm Quartet","0000-00-00",,
"Avada Kedavra","Steve Goodie","0000-00-00",,
"CdSW?","Cirque du So What","0000-00-00",,
"Celtic Christmas Elf Conscription Song","Marc Gunn","0000-00-00",,
"Food Network After Dark","Cirque du So What","0000-00-00",,
"Guess the Context #10","Cirque du So What","0000-00-00",,
"Guess the Context #8","Cirque du So What","0000-00-00",,
"Guess the Context #9","Cirque du So What","0000-00-00",,
"How To Have A Very Short Conversation With Chris","Cirque du So What","0000-00-00",,
"How To Have A Very Short Conversation With Devo Spice","Cirque du So What","0000-00-00",,
"How To Have A Very Short Conversation With Luke Ski","Cirque du So What","0000-00-00",,
"How To Have A Very Short Conversation With Shoebox","Cirque du So What","0000-00-00",,
"How To Speak Shoebox","Cirque du So What","0000-00-00",,
"The Pat Benatar Hair-Loss Medley","Steve Goodie","0000-00-00",,
"Interrupting Technology","Cirque du So What","0000-00-00",,
"Outtake Fun #9 - Fucking Excellent","Cirque du So What","0000-00-00",,
"Starstruck","Jesse Smith","0000-00-00",,
"Stick Stickley","Lemon Demon","0000-00-00",,
"All In My Tights","Devo Spice","2012-06-19",,
"The Lizard / Absorbing Man / Doctor Doom","Ookla The Mok","0000-00-00",,
"I Wanna See Your Cans!","The Boobles","0000-00-00",,
"Spiderine","Killer Calamari","0000-00-00",,
"An Open Letter To Shoebox\'s Waffle Iron","Cirque du So What","0000-00-00",,
"Demolition Mannequin","TV\'s Kyle","0000-00-00",,
"Get Our Geek On","Possible Oscar","0000-00-00",,
"Green Eggs And Peas","Cirque du So What","0000-00-00",,
"Grumbledy","TV\'s Kyle","0000-00-00",,
"How To Sing","Devo Spice","0000-00-00",,
"Look Directly At The Floating Polystyrene Head","Kobi Lacroix","0000-00-00",,
"Orange Glo","Kobi Lacroix","0000-00-00",,
"Pamphlet","Positive Attitude","0000-00-00",,
"Penguins Are Disgusting","The Chris Waffle Experience","0000-00-00",,
"Radiation Mutation Transformation","Nuclear Bubble Wrap","0000-00-00",,
"Scrollin\'","Possible Oscar","0000-00-00",,
"Stupid Cowboy Thing (Reprise?)","Cirque du So What","0000-00-00",,
"The Bee Gees Celestial Breakdance Party","Cirque du So What","0000-00-00",,
"The Fair Artists Performance Act","Cirque du So What","0000-00-00",,
"The Mother Load (feat. Jenny Casey)","Steve Goodie","0000-00-00",,
"Tile Guy: The Movie","Cirque du So What","0000-00-00",,
"When The World Ends","Insane Ian","0000-00-00",,
"Some Zombie by George Romero","Insane Ian","0000-00-00",,
"Out In The Backyard","Steve Goodie","0000-00-00",,
"Trivial Mysteries","Project Sisyphus","0000-00-00",,
"Taco Supremo","Confabulation of Gentry","0000-00-00",,
"Snortin\' Up The Bath Salts","Morning Sidekick","0000-00-00",,
"Tantric Yoda","Ookla The Mok","0000-00-00",,
"The FuMP Volume 33: May - June 2012","Various Artists","2012-07-24","FIDIM100","721405579600"
"An Open Letter To The FCC","Cirque du So What","0000-00-00",,
"Ajax Toy Company","Cirque du So What","0000-00-00",,
"Earpatch","TV\'s Kyle","0000-00-00",,
"My Face","Steve Goodie","0000-00-00",,
"A Well-Dressed Hobbit","Marc Gunn","0000-00-00",,
"The Halloween That Came Before November the First","Nuclear Bubble Wrap","0000-00-00",,
"Banana Bunch","TV\'s Kyle","0000-00-00",,
"What Do You Get The Girl Who Has Everything?","Steve Goodie","0000-00-00",,
"Hey Fred Phelps","Steve Goodie","0000-00-00",,
"Hi I\'m a Racist!","Power Salad","0000-00-00",,
"Nice To Meet You","Jeffrey Kornberg","0000-00-00",,
"Phone Sex","Donita Smith","0000-00-00",,
"Spider-Ham","Insane Ian","0000-00-00",,
"Sell Your Body For Revolution","Komrades Oppression Group","0000-00-00",,
"The Peddler: A Half-Assed Translation","Kobi Lacroix","0000-00-00",,
"In The 80s","Devo Spice","0000-00-00",,
"Nerdvana","Ookla The Mok","0000-00-00",,
"(Every Other Song Of) Mine","Morning Sidekick","0000-00-00",,
"A Message From Scrotor The Hentai Demon","Cirque du So What","0000-00-00",,
"A Precious Moment","Cirque du So What","0000-00-00",,
"A Scene In An Apothecary","Cirque du So What","0000-00-00",,
"Abortions And Guns","Cirque du So What","0000-00-00",,
"An Evening With Several People In An Apartment","Cirque du So What","0000-00-00",,
"Angels In The Outhouse","Cirque du So What","0000-00-00",,
"Black Holes Suck","Nuclear Bubble Wrap","0000-00-00",,
"Corned Beef and Cabbage (v. Flaccid Beats Dubstep Remix)","Power Salad","0000-00-00",,
,"Cirque du So What","0000-00-00",,
"Guess the Context #2","Cirque du So What","0000-00-00",,
"Guess the Context #3","Cirque du So What","0000-00-00",,
"Guess the Context #4","Cirque du So What","0000-00-00",,
"Guess the Context #5","Cirque du So What","0000-00-00",,
"Guess the Context #6","Cirque du So What","0000-00-00",,
"Guess the Context #7","Cirque du So What","0000-00-00",,
"Kyle Are You Ian?","Scooter Picnic","0000-00-00",,
"Kyle Are You Ian? (v. Ianstrumental)","Scooter Picnic","0000-00-00",,
"Let\'s Do Improv!","Cirque du So What","0000-00-00",,
"Luke\'s Bonus Track","the great Luke Ski","0000-00-00",,
"Pepperoni Demons","TV\'s Kyle","0000-00-00",,
"Prometheus","Tom Smith","0000-00-00",,
"Return To Carson Ave","Cirque du So What","0000-00-00",,
"Shoebox Versus The Evil Internet Space Lizards","Cirque du So What","0000-00-00",,
"Snowman","TV\'s Kyle","0000-00-00",,
"Stupid Cowboy Thing?","Cirque du So What","0000-00-00",,
"The Island of Recalled Toys","Baldbox","0000-00-00",,
"Underboob","Possible Oscar","0000-00-00",,
"Romney Can You Hear Me","Steve Goodie","0000-00-00",,
"Sorry Clint Obama\'s Not There (The Good the Bad and the Invisible)","Power Salad","0000-00-00",,
"Tonight\'s the Night (We Interface)","Consortium of Genius","0000-00-00",,
"Smeg Head","the great Luke Ski","0000-00-00",,
"The Halloween Song","Max Degroot","0000-00-00",,
"The FuMP Volume 34: July - August 2012","Various Artists","2012-09-15",,
"Eduardo O\'Lantern","TV\'s Kyle","0000-00-00",,
"Cupcakes!","Devo Spice","2012-10-29",,
"Not As Short Just As Meta","Cirque du So What","0000-00-00",,
"Pizza Time","Cirque du So What","0000-00-00",,
"Salary Review","Cirque du So What","0000-00-00",,
"The Funniest Guy in the Office","The Chris Waffle Experience","0000-00-00",,
"The Funniest Guy in the Office","The Chris Waffle Experience","0000-00-00",,
"Sweepstakes","TV\'s Kyle","0000-00-00",,
"Before He Speaks","Steve Goodie","0000-00-00",,
"Songs of the Maniacs","Worm Quartet","2012-10-04",,
"It\'s Election Time","Morning Sidekick","0000-00-00",,
"When You Wish Upon A Death Star","the great Luke Ski","0000-00-00",,
"Vote For Me","Devo Spice","0000-00-00",,
"The FuMP Volume 35: September - October 2012","Various Artists","2012-11-15","FIDIM105","721405579624"
"Nobody To Vote","Steve Goodie","0000-00-00",,
"Grapes","Power Salad","0000-00-00",,
"Test Song","Test Artist","2012-11-30",,
"200 Minutes of Free Prayer Time","Cirque du So What","0000-00-00",,
"Another Late Night Phone Call","Cirque du So What","0000-00-00",,
"Cirque du So What Trivia Corner","Cirque du So What","0000-00-00",,
"Ed\'s Discount Learnin\' Hut","Cirque du So What","0000-00-00",,
"Enditol","Cirque du So What","0000-00-00",,
"Fauxllus","Cirque du So What","0000-00-00",,
"Group Dynamic Meeting (One More Stupid Day)","Cirque du So What","0000-00-00",,
"How to Write Parodies","Cirque du So What","0000-00-00",,
"I Noticed You Noticing Me","Scooter Picnic","0000-00-00",,
"Javatopia","Cirque du So What","0000-00-00",,
"Money Dollar Bills","Lemon Demon","0000-00-00",,
"So Weird","Steve Goodie","0000-00-00",,
"Speed Racer Wannabe","Dino-Mike","0000-00-00",,
"That Guy","The Chris Waffle Experience","0000-00-00",,
"The Internet Is a Big Warm Hug for the World","Worm Quartet","0000-00-00",,
"Uber Shrug","Insane Ian","0000-00-00",,
"Rock Me I\'m Patraeus","Robert Lund","0000-00-00",,
"Weezard","Insane Ian","0000-00-00",,
"Geeks Don\'t Care","Phil Johnson and Roadside Attraction","0000-00-00",,
"Luke Are You Carrie?","Carrie Dahlby","0000-00-00",,
"My Vegetarian Friend","Flat 29","0000-00-00",,
"Reflexology","Marc Gunn","0000-00-00",,
"Strictly Speaking","TV\'s Kyle","0000-00-00",,
"The Pimple Song","Willie B Poppin","0000-00-00",,
"Your Secret Project","TV\'s Kyle","0000-00-00",,
"Mac Face T-Shirt","Devo Spice","2013-01-01","FIDIM106",
"Mwahaha","Ookla The Mok","0000-00-00",,
"Ear Dogs","Devo Spice","0000-00-00",,
"Shaving Desires","Devo Spice","0000-00-00",,
"Middle Earth Needs Me","Consortium of Genius","0000-00-00",,
"Gorilla My Dreams","Glen Raphael","0000-00-00",,
"Nah Meen?","Devo Spice","0000-00-00",,
"The Next Wolverine","Jesse Smith","0000-00-00",,
"JoCo Got Jacked","Devo Spice","0000-00-00",,
"The Fump Vol. 36: November - December 2012","Various Artists","2013-02-20","FIDIM108","721405579631"
"Carol of the Meh","Smashy Claw","0000-00-00",,
